Nama,Latitude,Longitude
Balai Desa Ciruyung,-7.350185381,108.9292647
Balai Desa Pamulihan,-7.332706432,108.9301414
Balai Desa Babakan,-7.342641751,108.8939473
Balai Desa Serang,-7.461139083,108.7602117
Balai Desa Mulyadadi,-7.434676876,108.7527894
Balai Desa Cipari,-7.439944017,108.7599498
Balai Desa Segaralangu,-7.442669141,108.7829382
Balai Desa Karangreja,-7.41867769710757,108.80219971030536
Balai Desa Kutasari,-7.394689384,108.8031922
Balai Desa Pegadingan,-7.406187976,108.7603955
Balai Desa Cisuru,-7.398928326,108.7365499
Balai Desa Mekarsari,-7.400022668,108.7449833
Balai Desa Sidasari,-7.384284459,108.7801567
Balai Desa Caruy,-7.375954694,108.8028629
Balai Desa Tegalsari,-7.485581773,108.7744421
Balai Desa Margasari,-7.46922455,108.7502054
Balai Desa Tinggarjaya,-7.480595869,108.7669981
Balai Desa Gunungreja,-7.479329968,108.7856679
Balai Desa Sidareja,-7.482720383,108.7920794
Balai Desa Sidamulya,-7.350584341,108.6761607
Balai Desa Sudagaran,-7.4901238,108.8095576
Balai Desa Kunci,-7.47249594,108.807493
Balai Desa Karanggedang,-7.456938657,108.8355403
Balai Desa Penyarang,-7.438920347,108.8299317
Balai Desa Sidanegara,-7.54121121,108.7530881
kelurahan Tambakreja,-7.538736939,108.7836077
Balai Desa Kaliwungu,-7.735575683,109.0175999
Balai Desa Bumireja,-7.5377704,108.7994195
Balai Desa Jatisari,-7.516566535,108.8002007
Balai Desa Ciklapa,-7.506522388,108.8105504
Balai Desa Bangunreja,-7.50104298,108.7761072
Balai Desa Kedungreja,-7.504965751,108.7808289
Balai Desa Tambaksari,-7.273342742,108.6392015
Balai Desa Rejamulya,-7.477178718,108.7393272
Balai Desa Bojongsari,-7.458826619,108.7273359
Balai Desa Rawaapu,-7.639149989,108.7571309
Balai Desa Sidamukti,-7.609405948,108.7556989
Balai Desa Purwodadi,-7.600792841,108.7623893
Balai Desa Cimrutu,-7.619308542,108.8027201
Balai Desa Patimuan,-7.583574535,108.7608936
Balai Desa Cinyawang,-7.569886659,108.7697578
Balai Desa Bulupayung,-7.596610409,109.1397925
Balai Desa Cisumur,-7.532618723,108.8210025
Balai Desa Sidaurip,-7.548704606,108.8385509
Balai Desa Gintungreja,-7.570663353,108.865881
Balai Desa Layansari,-7.547984985,108.8579578
Balai Desa Gandrungmanis,-7.525009839,108.855699
Balai Desa Bulusari,-7.513496613,108.8431536
Balai Desa Gandrungmangu,-7.508866348,108.8413272
Balai Desa Wringinharjo,-7.483763433,108.8238029
Balai Desa Karanganyar,-7.474643141,108.8519363
Balai Desa Muktisari,-7.505329682,108.8572533
Balai Desa Kertajaya,-7.484406696,108.8985654
Balai Desa Cinangsi,-7.461127087,108.8814047
Balai Desa Karanggintung,-7.458289043,108.8593753
Balai Desa Rungkang,-7.438726424,108.8561115
Balai Desa Bantarsari,-7.539932226,108.8705564
Balai Desa Rawajaya,-7.562052055,108.8795462
Balai Desa Binangun,-7.667753825694707,109.26870459392956
Balai Desa Bulaksari,-7.523812975,108.8887375
Balai Desa Kamulyan,-7.526990212,108.8634969
Balai Desa Cikedondong,-7.498462505,108.8977245
Balai Desa Kedungwadas,-7.482208407,108.9186532
Balai Desa Grugu,-7.645197858,108.9126578
Balai Desa Ujungmanik,-7.644039491,108.9514281
Balai Desa Kubangkangkung,-7.620968609,108.9430662
Balai Desa Bojong,-7.608163551,108.9271265
Balai Desa Cidadap,-7.353239673849244,108.85647850238144
Balai Desa Matenggeng,-7.276883094030931,108.5943606778473
Balai Desa Ciwalen,-7.287956019643515,108.61271700851196
Balai Desa Dayeuhluhur,-7.259731738239488,108.6116974372905
Balai Desa Hanum,-7.22878372400323,108.6200864662171
Balai Desa Datar,-7.207939545869175,108.63157070192942
Balai Desa Bingkeng,-7.2371112160104465,108.59272960668014
Balai Desa Bolang,-7.202147627995013,108.58564433552408
Balai Desa Kutaagung,-7.182294456993875,108.57570608225691
Balai Desa Cijeruk,-7.197356148363169,108.60044893735493
Balai Desa Cilumping,-7.187147521041676,108.62177220483788
Balai Desa Sumpinghayu,-7.191639848649241,108.63485652834744
Balai Desa Purwasari,-7.43575761635282,108.73156932404488
Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896
Balai Desa Tarisi,-7.39470838816254,108.70133486438638
Balai Desa Bantar,-7.353149095776255,108.70434235257424
Balai Desa Adimulya,-7.332960915849882,108.68843248947638
Balai Desa Wanareja,-7.32853370869163,108.68339457787062
Balai Desa Madura,-7.330648739856452,108.6440463888098
Balai Desa Madusari,-7.309033604290997,108.64718680669638
Balai Desa Majingklak,-7.302551300391165,108.67488863463404
Balai Desa Malabar,-7.293271821057493,108.68812636937344
Balai Desa Limbangan,-7.298087829364884,108.7099752951064
Balai Desa Cigantung,-7.206873836864913,108.71067602294652
Balai Desa Palugon,-7.229481997008938,108.67527281257684
Balai Desa Pahonjean,-7.324605442665611,108.73858679137896
Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124
Balai Desa Mulyasari,-7.316016450227107,108.7710207218418
Balai Desa Padangsari,-7.328626531601817,108.78025856834626
Balai Desa Cilopadang,-7.304095476590585,108.7902956932206
Balai Desa Padangjaya,-7.312561715923866,108.78564673693214
Balai Desa Sindangsari,-7.300439235287598,108.76743410896202
Balai Desa Jenang,-7.300138237864985,108.75817866114352
Balai Desa Salebu,-7.302060266313512,108.72381800486023
Balai Desa Cibeunying,-7.2945766910061725,108.74267406439527
Balai Desa Sepatnunggal,-7.244079600877812,108.74378220672055
Balai Desa Bener,-7.261083250655202,108.7534014098299
Balai Desa Boja,-7.245645115987108,108.78181327770191
Balai Desa Ujungbarang,-7.2222153464191345,108.78671909426748
Balai Desa Pengadegan,-7.218711421828101,108.76832074683728
Balai Desa Sadabumi,-7.213528880172851,108.7507408373943
Balai Desa Sadahayu,-7.216067764083128,108.7195604932316
Balai Desa Karangreja,-7.355527244545825,108.80268215086484
Balai Desa Cimanggu,-7.347615384867863,108.83824067084493
Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534
Balai Desa Panimbang,-7.367549798741719,108.86583925009202
Balai Desa Mandala,-7.356992217695421,108.88791346224504
Balai Desa Bantarmangu,-7.339105124529084,108.8664505797285
Balai Desa Cilempuyang,-7.342702844266789,108.83395417973034
Balai Desa Rejodadi,-7.321355585393663,108.79762552292264
Balai Desa Negarajati,-7.305529127309496,108.83219886489567
Balai Desa Cisalak,-7.307785089523783,108.8654459383816
Balai Desa Cibalung,-7.320312734352611,108.8786737778771
Balai Desa Kutabima,-7.280607664645105,108.88291821754824
Balai Desa Pesahangan,-7.277115069152978,108.82566019216888
Balai Desa Cijati,-7.267929664275852,108.81436457989255
Balai Desa Tambaksari,-7.273316141197253,108.6390137355516
Balai Desa Bulupayung,-7.579981845761614,108.7853295508966
Balai Desa Bunton,-7.671146035522224,109.14546175880828
Balai Desa Karangbenda,-7.672624198676923,109.17602077782053
Balai Desa Adiraja,-7.666087841147282,109.16819716425138
Balai Desa Tritih Lor,-7.632283256633936,109.03146171922852
Balai Desa Brebeg,-7.626279898675562,109.00042486088437
